track,proj,blk,stk,dist,reg,ten,floor,date,base_sqft,ph_sqft,extra,extra_pct,n_base,base_price,ph_price,base_psf,ph_psf,void_psf,ratio,headline_drop
newsale,CHUAN PARK,242 LORONG CHUAN,01,19,North East Region,LH,22,2025-05-16,732,872,140,0.191,21,1931384,2088700,2639,2396,1124,0.4261,-0.0921
newsale,CHUAN PARK,242 LORONG CHUAN,03,19,North East Region,LH,22,2024-11-10,1023,1206,183,0.179,21,2721180,2795781,2661,2319,408,0.1532,-0.1285
newsale,CHUAN PARK,242 LORONG CHUAN,04,19,North East Region,LH,22,2025-06-29,1023,1206,183,0.179,21,2755730,2886900,2695,2395,717,0.266,-0.1114
newsale,CHUAN PARK,242 LORONG CHUAN,06,19,North East Region,LH,22,2025-02-18,743,883,140,0.188,21,1994684,2131000,2686,2414,974,0.3627,-0.101
newsale,CHUAN PARK,242 LORONG CHUAN,07,19,North East Region,LH,22,2025-05-04,936,1119,183,0.195,21,2463120,2651900,2630,2369,1032,0.3922,-0.0993
newsale,CHUAN PARK,242 LORONG CHUAN,08,19,North East Region,LH,22,2024-11-10,915,1109,194,0.212,21,2406104,2516516,2630,2270,570,0.2167,-0.1369
newsale,CHUAN PARK,242 LORONG CHUAN,09,19,North East Region,LH,22,2024-11-10,700,829,129,0.185,21,1867866,1908200,2670,2302,312,0.117,-0.1376
newsale,CHUAN PARK,244 LORONG CHUAN,11,19,North East Region,LH,22,2024-11-21,915,1109,194,0.212,21,2452949,2630961,2681,2373,919,0.3427,-0.1149
newsale,CHUAN PARK,244 LORONG CHUAN,12,19,North East Region,LH,22,2025-01-17,936,1119,183,0.195,21,2491040,2645946,2660,2364,847,0.3182,-0.1114
newsale,CHUAN PARK,244 LORONG CHUAN,13,19,North East Region,LH,22,2024-11-10,743,883,140,0.188,20,2001433,2125956,2695,2409,890,0.3302,-0.1062
newsale,CHUAN PARK,244 LORONG CHUAN,15,19,North East Region,LH,22,2026-05-31,1227,1507,280,0.228,8,3430956,3532910,2796,2344,364,0.1303,-0.1615
newsale,CHUAN PARK,244 LORONG CHUAN,18,19,North East Region,LH,22,2025-10-24,732,872,140,0.191,4,2056860,2141200,2810,2456,603,0.2145,-0.1261
newsale,CHUAN PARK,246 LORONG CHUAN,19,19,North East Region,LH,22,2026-06-29,732,872,140,0.191,12,2064742,2121570,2821,2433,406,0.144,-0.1374
newsale,CHUAN PARK,246 LORONG CHUAN,21,19,North East Region,LH,22,2026-04-20,1389,1679,291,0.209,7,3800467,3871280,2737,2305,244,0.089,-0.1577
newsale,CHUAN PARK,246 LORONG CHUAN,22,19,North East Region,LH,22,2024-11-10,1550,1841,291,0.187,8,4114925,4309005,2655,2341,668,0.2516,-0.1182
newsale,CHUAN PARK,246 LORONG CHUAN,24,19,North East Region,LH,22,2025-01-09,743,883,140,0.188,17,2079053,2150000,2799,2436,507,0.1811,-0.1298
newsale,CHUAN PARK,246 LORONG CHUAN,25,19,North East Region,LH,22,2024-11-10,936,1119,183,0.195,20,2592398,2637615,2768,2356,247,0.0893,-0.1489
newsale,CHUAN PARK,246 LORONG CHUAN,26,19,North East Region,LH,22,2026-03-06,1206,1496,291,0.241,5,3345368,3439814,2775,2299,325,0.1171,-0.1715
newsale,CHUAN PARK,248 LORONG CHUAN,29,19,North East Region,LH,19,2026-05-03,732,872,140,0.191,3,2035233,2097580,2781,2406,446,0.1602,-0.1348
newsale,CHUAN PARK,248 LORONG CHUAN,33,19,North East Region,LH,19,2024-11-10,743,883,140,0.188,15,2019780,2072823,2719,2348,379,0.1394,-0.1364
newsale,CHUAN PARK,248 LORONG CHUAN,34,19,North East Region,LH,19,2025-03-22,936,1119,183,0.195,18,2534879,2684900,2707,2398,820,0.3029,-0.114
newsale,CHUAN PARK,248 LORONG CHUAN,35,19,North East Region,LH,19,2024-11-10,1335,1615,280,0.21,17,3550194,3663977,2660,2269,407,0.1529,-0.1468
newsale,CHUAN PARK,250 LORONG CHUAN,38,19,North East Region,LH,19,2024-11-11,1335,1615,280,0.21,18,3531706,3700617,2646,2292,604,0.2281,-0.1338
newsale,CHUAN PARK,250 LORONG CHUAN,39,19,North East Region,LH,19,2025-05-10,936,1119,183,0.195,18,2457710,2654000,2624,2371,1073,0.4087,-0.0967
newsale,CHUAN PARK,250 LORONG CHUAN,44,19,North East Region,LH,19,2026-06-23,732,872,140,0.191,3,2031826,2108000,2776,2418,544,0.1961,-0.129
newsale,FOREST WOODS,11 LORONG LEW LIAN,20,19,North East Region,LH,12,2017-03-13,753,840,86,0.114,11,1137300,1176000,1509,1401,449,0.2978,-0.072
newsale,FOREST WOODS,11 LORONG LEW LIAN,21,19,North East Region,LH,12,2016-10-08,603,689,86,0.143,11,867664,895000,1439,1299,317,0.2205,-0.0974
newsale,FOREST WOODS,11 LORONG LEW LIAN,23,19,North East Region,LH,12,2016-10-08,657,743,86,0.131,10,935126,964000,1424,1298,335,0.2354,-0.0887
newsale,FOREST WOODS,15 LORONG LEW LIAN,25,19,North East Region,LH,12,2017-10-29,732,872,140,0.191,9,1100232,1252000,1503,1436,1085,0.7216,-0.0447
newsale,FOREST WOODS,15 LORONG LEW LIAN,26,19,North East Region,LH,12,2016-10-15,732,904,172,0.235,6,1040384,1113000,1421,1231,422,0.2966,-0.134
newsale,FOREST WOODS,15 LORONG LEW LIAN,28,19,North East Region,LH,12,2016-10-15,667,786,118,0.177,10,949790,992000,1423,1262,357,0.2505,-0.1129
newsale,FOREST WOODS,15 LORONG LEW LIAN,29,19,North East Region,LH,12,2016-10-08,947,1109,161,0.17,4,1297256,1336000,1370,1205,240,0.1752,-0.1201
newsale,FOREST WOODS,15 LORONG LEW LIAN,30,19,North East Region,LH,12,2016-11-06,990,1173,183,0.185,10,1434372,1492000,1448,1272,315,0.2174,-0.1221
newsale,FOREST WOODS,15 LORONG LEW LIAN,31,19,North East Region,LH,12,2016-10-08,721,840,118,0.164,10,1093536,1128000,1516,1344,291,0.192,-0.1139
